cheese,url,milk,country,region,family,type,texture,rind,color,flavor,aroma,vegetarian,vegan,producers
L'Amuse Signature Gouda,https://www.cheese.com/lamuse-signature-gouda/,cow,Netherlands,Wisconsin,Cheddar,"hard, artisan","crumbly, crystalline, smooth",waxed,orange,"burnt caramel, caramel, full-flavored, salty",nutty,No,No,Essex St. Cheese Co.
L'Aveyronnais,https://www.cheese.com/laveyronnais/,cow,France,massif des Causses,Brie,soft,creamy,leaf wrapped,white,creamy,grassy,False,False,Sartori
L'Ecir de l'Aubrac,https://www.cheese.com/lecir-de-laubrac/,cow,France,Auvergne,Brie,"soft, artisan",smooth,natural,white,sweet,pleasant,False,False,Sartori
L'Empereur,https://www.cheese.com/lempereur/,Unknown,Canada,Quebec,Brie,"soft, artisan","creamy, supple",washed,cream,"buttery, salty","fruity, milky, nutty",No,No,Fromagerie Fritz Kaiser
L'Étivaz,https://www.cheese.com/letivaz/,cow,Switzerland,Wisconsin,Gouda,hard,buttery,natural,pale yellow,creamy,smokey,No,No,Sartori
L'Étoile de St-Raymond,https://www.cheese.com/letoile-de-st-raymond/,Unknown,Canada,Quebec,Brie,soft,"buttery, creamy",ash coated,ivory,"buttery, grassy, milky",mushroom,No,No,La Maison Alexis de Portneuf Inc.
La Bonaparte,https://www.cheese.com/la-bonaparte/,cow,Canada,Quebec,Brie,"soft, soft-ripened","creamy, soft, soft-ripened, supple",bloomy,cream,"creamy, mild, milky","fresh, mild",No,No,La Maison Alexis de Portneuf Inc.
La Casatella,https://www.cheese.com/la-casatella/,cow,Italy,Veneto,Mozzarella,"fresh soft, artisan","compact, soft",natural,white,"subtle, sweet",lactic,False,False,La Casearia Carpenedo S.r.l.
La Couronne - Fort Aged Comté,https://www.cheese.com/la-couronne-fort-aged-comte/,cow,"France, Switzerland",Franche Comté,Cheddar,semi-hard,dense,natural,pale yellow,"caramel, nutty, sweet",rich,No,No,Cheese Slices
La Fleurie,https://www.cheese.com/la-fleurie/,cow,United States,Vermont,Brie,"soft, artisan, soft-ripened","buttery, runny, smooth",mold ripened,ivory,"buttery, earthy, mushroomy, nutty","earthy, mild",True,False,Willow Hill Farm
La Peral,https://www.cheese.com/la-peral/,cow,Spain,Wisconsin,Blue,"semi-soft, blue-veined","creamy, firm, grainy",natural,pale yellow,"spicy, sweet","buttery, rich",False,False,Sartori
La Pyramide,https://www.cheese.com/la-pyramide/,goat,Canada,British Columbia,Pecorino,"semi-soft, artisan",dense,ash coated,ivory,"salty, tangy",mild,False,False,The Farm House Natural Cheeses
La Retorta,https://www.cheese.com/la-retorta/,sheep,Spain,Wisconsin,Cottage,"soft, semi-soft","creamy, runny",natural,pale yellow,creamy,rich,No,No,Sartori
La Rumeur,https://www.cheese.com/la-rumeur/,cow,Canada,Quebec,Brie,"soft, soft-ripened","buttery, creamy, runny, supple",bloomy,cream,"creamy, mild","mild, milky",No,No,La Maison Alexis de Portneuf Inc.
La Sauvagine,https://www.cheese.com/la-sauvagine/,cow,Canada,Quebec,Brie,soft,"buttery, creamy, runny, supple",washed,ivory,"buttery, creamy",mushroom,True,False,La Maison Alexis de Portneuf Inc.
La Sauvagine Réserve,https://www.cheese.com/la-sauvagine-reserve/,cow,Canada,Quebec,Brie,soft,"buttery, creamy, runny, supple",washed,ivory,"buttery, creamy, mild, milky",mushroom,True,False,La Maison Alexis de Portneuf Inc.
La Serena,https://www.cheese.com/la-serena/,sheep,Spain,Extremadura,Brie,soft,"creamy, spreadable",washed,straw,"bitter, full-flavored, sharp, strong","pleasant, strong",True,False,Sartori
La Taupiniere,https://www.cheese.com/la-taupiniere/,goat,France,Poitou-Charentes,Brie,"soft, artisan","creamy, smooth",natural,white,"sour, tangy","aromatic, nutty",False,False,Fromagerie Jousseaume
La Tur,https://www.cheese.com/la-tur/,"cow, goat, sheep",Italy,Alba,Brie,"soft, artisan, soft-ripened","creamy, fluffy, soft-ripened",mold ripened,straw,"acidic, buttery, creamy, grassy, mushroomy","earthy, lactic, yeasty",False,False,Caseificio dell'Alta Langa
La Vache Qui Rit cheese,https://www.cheese.com/la-vache-qui-rit/,cow,France,Wisconsin,Swiss Cheese,"semi-soft, processed","creamy, smooth, spreadable",rindless,pale yellow,"buttery, mild",fresh,No,No,BEL Group
Labneh,https://www.cheese.com/labneh/,cow,Middle East,Wisconsin,Brie,soft,creamy,rindless,white,"creamy, milky, sour","fresh, mild",No,No,Sartori
Lacey Grey,https://www.cheese.com/lacey-grey/,goat,Canada,"Prince Edward County, Ontario",Brie,"soft, artisan, soft-ripened","creamy, soft",bloomy,white,"acidic, bitter, nutty","clean, herbal",No,No,Fifth Town Artisan Cheese
LaClare Farms Chandoka,https://www.cheese.com/laclare-farms-chandoka/,"cow, goat",United States,Wisconsin,Cheddar,"semi-firm, artisan",creamy,natural,ivory,"fruity, tangy",fruity,True,False,LaClare Farms
LaClare Farms Cheddar,https://www.cheese.com/laclare-farms-cheddar/,goat,United States,Wisconsin,Cheddar,"semi-soft, artisan",creamy,natural,ivory,"mild, sweet, tangy","fruity, sweet",True,False,LaClare Farms
LaClare Farms Chevre,https://www.cheese.com/laclare-farms-chevre/,goat,United States,Wisconsin,Cottage,fresh soft,creamy,rindless,white,"mild, sweet",fresh,True,False,LaClare Farms
LaClare Farms Evalon,https://www.cheese.com/laclare-farms-evalon/,goat,United States,Wisconsin,Gouda,"semi-hard, artisan",creamy,natural,ivory,mild,goaty,True,False,LaClare Farms
LaClare Farms Evalon with Cummin,https://www.cheese.com/laclare-farms-evalon-cummin/,goat,United States,Wisconsin,Gouda,"semi-hard, artisan",creamy,natural,ivory,savory,goaty,True,False,LaClare Farms
LaClare Farms Evalon with Fenugreek,https://www.cheese.com/laclare-farms-evalon-fenugreek/,goat,United States,Wisconsin,Gouda,"semi-hard, artisan",creamy,natural,pale yellow,mild,goaty,True,False,LaClare Farms
LaClare Farms Fondry Jack,https://www.cheese.com/laclare-farms-fondry-jack/,goat,United States,Wisconsin,Monterey Jack,"fresh soft, artisan",creamy,natural,ivory,mild,fresh,No,No,LaClare Farms
LaClare Farms Martone,https://www.cheese.com/laclare-farms-martone/,goat,United States,Wisconsin,Cottage,semi-soft,creamy,ash coated,white,"sweet, tangy","buttery, fresh",True,False,LaClare Farms
LaClare Farms Raw Goats Milk Cheddar,https://www.cheese.com/laclare-farms-raw-goats-milk-cheddar/,goat,United States,Wisconsin,Cheddar,"semi-soft, artisan",creamy,natural,ivory,"mild, sweet, tangy","fruity, sweet",True,False,LaClare Farms
LaClare Ziege Zacke Blue,https://www.cheese.com/laclare-ziege-zacke-blue/,"cow, goat",United States,Wisconsin,Blue,"semi-hard, blue-veined","creamy, firm",natural,cream,"creamy, spicy, sweet, tangy","earthy, rich",False,False,LaClare Farms
Lacy Swiss,https://www.cheese.com/lacy-swiss/,cow,United States,Wisconsin,Swiss Cheese,"semi-firm, processed","creamy, open, supple",natural,ivory,"mild, nutty",mild,No,No,Sartori
Lady Jane,https://www.cheese.com/lady-jane/,cow,Canada,British Columbia,Brie,"semi-soft, artisan, soft-ripened","creamy, dense, soft-ripened",mold ripened,pale yellow,tangy,"earthy, mushroom",False,False,The Farm House Natural Cheeses
Laganory,https://www.cheese.com/laganory/,cow,Scotland,Wisconsin,Cheddar,firm,"brittle, compact, dry, grainy",natural,pale yellow,"nutty, salty, subtle","earthy, grassy, raw nut, subtle",True,False,The Ethical Dairy
Laguiole,https://www.cheese.com/laguiole/,cow,France,"Aveyron, Laguiole",Cheddar,"semi-hard, artisan","creamy, firm, supple",natural,straw,"sharp, sour, tangy",aromatic,False,False,Sartori
Lairobell,https://www.cheese.com/lairobell/,goat,"Scotland, United Kingdom",Orkney Isles,Cheddar,"hard, artisan","crumbly, open",natural,pale yellow,"herbaceous, sweet",goaty,True,False,Sartori
Lajta,https://www.cheese.com/lajta/,cow,Hungary,Wisconsin,Brie,soft,"creamy, open",washed,yellow,piquant,"aromatic, stinky, strong",False,False,Sartori
Lake District Extra Mature Cheddar,https://www.cheese.com/lake-district-extra-mature-cheddar/,cow,United Kingdom,Cumbrian,Cheddar,"semi-soft, artisan",creamy,natural,pale yellow,sweet,rich,True,False,The Lake District Cheese Company
Lake District Mature Cheddar,https://www.cheese.com/lake-district-mature-cheddar/,cow,United Kingdom,Cumbrian,Cheddar,"soft, artisan","crumbly, dense",natural,pale yellow,"savory, sweet",fresh,True,False,The Lake District Cheese Company
Lamb Chopper,https://www.cheese.com/lamb-chopper/,sheep,"Netherlands, United States",California,Gouda,hard,"dense, firm, smooth",waxed,ivory,"buttery, caramel, creamy, nutty, sweet","mild, sweet",True,False,Cypress Grove Chevre
Lanark Blue,https://www.cheese.com/lanark-blue/,sheep,Scotland,Wisconsin,Blue,"semi-soft, artisan, blue-veined","brittle, grainy",natural,white,creamy,rich,True,False,Errington Cheese Ltd.
Lanark White,https://www.cheese.com/lanark-white/,sheep,Scotland,Wisconsin,Gouda,hard,"buttery, crumbly, flaky",natural,pale white,"grassy, milky, nutty, salty","grassy, milky, musty",True,False,Errington Cheese Ltd.
Lancashire Smoked,https://www.cheese.com/lancashire-smoked/,cow,England,Wisconsin,Gouda,hard,"buttery, crumbly",natural,red,"acidic, nutty, smokey , tangy, woody","buttery, fresh, grassy, smokey",False,False,Mrs. Kirkham's
Landaff,https://www.cheese.com/landaff/,cow,United States,New Hampshire,Cheddar,"semi-hard, artisan","creamy, firm, open",natural,straw,"mild, tangy",aromatic,No,No,"Jasper Hill Farm, Landaff Creamery, LLC"
Langres,https://www.cheese.com/langres/,cow,France,Wisconsin,Cheddar,semi-soft,"crumbly, firm",washed,orange,creamy,strong,No,No,Sartori
Lappi,https://www.cheese.com/lappi/,cow,Finland,Lapland,Swiss Cheese,semi-soft,"creamy, firm, open, smooth",rindless,yellow,"mild, sweet",rich,False,False,Sartori
Largo,https://www.cheese.com/largo/,cow,United States,California,Brie,"soft, artisan","creamy, smooth",bloomy,pale yellow,"mushroomy, nutty, sweet","pleasant, sweet",No,No,Andante Dairy
Laruns,https://www.cheese.com/laruns/,sheep,France,Laruns,Brie,"soft, artisan","brittle, firm, supple",natural,straw,"acidic, mild, nutty, salty, sweet",mild,False,False,Sartori
Latteria Navel,https://www.cheese.com/latteria-navel/,cow,Italy,Friuli-Venezia Giulia and the Veneto,Brie,"hard, soft-ripened",brittle,natural,straw,full-flavored,aromatic,No,No,Sartori
Latteria San Biagio,https://www.cheese.com/latteria-san-biagio/,cow,Italy,Veneto,Brie,"soft, artisan",creamy,natural,white,"acidic, sweet",subtle,False,False,La Casearia Carpenedo S.r.l.
Laura Chenel Taupiniere,https://www.cheese.com/laura-chenel-taupiniere/,goat,United States,"Carneros, Sonoma, California",Brie,"soft, artisan","creamy, soft",ash coated,white,"creamy, tart","aromatic, fresh",No,No,Laura Chenel's Chevre
Laura Chenel Tome,https://www.cheese.com/laura-chenel-tome/,goat,United States,"Sonoma, California",Cheddar,"firm, artisan","crumbly, dense, firm",cloth wrapped,ivory,"caramel, savory","rich, sweet",True,False,Laura Chenel's Chevre
Laura Chenel's Cabecou,https://www.cheese.com/laura-chenels-cabecou/,goat,United States,California,Cottage,fresh firm,"creamy, dense, smooth",rindless,cream,"creamy, mild, nutty","mild, nutty, rich",No,No,Laura Chenel's Chevre
Lavistown,https://www.cheese.com/lavistown/,cow,Ireland,Stoneyford,Cheddar,"semi-hard, artisan","crumbly, dry, firm",natural,yellow,"creamy, mild, milky, tangy, vegetal",rich,True,False,Knockdrinna Farmhouse Cheese
Le Brebiou,https://www.cheese.com/le-brebiou/,sheep,France,Pyrénées-Atlantiques,Brie,"semi-soft, artisan, soft-ripened","creamy, firm, smooth",bloomy,white,"mild, milky, sweet",musty,False,False,Sartori
Le Brin,https://www.cheese.com/le-brin/,cow,France,Rhone-Alps,Pecorino,"semi-soft, artisan","creamy, spreadable",washed,white,"buttery, sweet","aromatic, nutty, yeasty",True,False,Fromagerie GUILLOTEAU
Le Cendrillon,https://www.cheese.com/le-cendrillon/,goat,Canada,Quebec,Brie,soft,"creamy, smooth",ash coated,ivory,"acidic, pronounced, sour",goaty,No,No,La Maison Alexis de Portneuf Inc.
Le Chevrot,https://www.cheese.com/le-chevrot/,goat,France,Loire Valley,Brie,soft,"creamy, dense, firm",mold ripened,cream,"herbaceous, nutty, strong","goaty, strong",False,False,SEVRE & BELLE
Le Conquerant Camembert,https://www.cheese.com/le-conquerant-camembert/,cow,France,"Pays d’Auge, Normandy",Camembert,"soft, artisan",soft-ripened,waxed,white,"fruity, yeasty",rich,False,False,Sartori
Le Conquerant Demi Pont L'eveque,https://www.cheese.com/le-conquerant-demi-pont-leveque/,cow,"Australia, France",Wisconsin,Brie,"soft, artisan","chalky, creamy, soft",washed,white,"creamy, mild",pungent,No,No,"Fromagerie Graindorge, Will Studd Enterprizes Pty Ltd"
Le Double Joie,https://www.cheese.com/le-double-joie/,"cow, goat",Canada,Quebec,Brie,"soft, soft-ripened","buttery, creamy, runny",bloomy,cream,"buttery, creamy",mushroom,No,No,La Maison Alexis de Portneuf Inc.
Le Duc Vacherin,https://www.cheese.com/le-duc-vacherin/,cow,France,Franche Comté,Brie,"soft, soft-ripened","smooth, soft",washed,ivory,"buttery, creamy, lemony, mild","rich, woody",No,No,Fromagerie Jean Perrin
Le Fium Orbo,https://www.cheese.com/le-fium-orbo/,"goat, sheep",France,Wisconsin,Brie,soft,soft-ripened,natural,white,creamy,rich,False,False,Sartori
Le Gruyère AOP,https://www.cheese.com/le-gruyere-aop/,cow,Switzerland,Wisconsin,Gouda,hard,compact,natural,white,sweet,earthy,False,False,Sartori
Le Lacandou,https://www.cheese.com/le-lacandou/,sheep,France,Aveyron,Brie,"soft, artisan",creamy,natural,pale yellow,fruity,grassy,False,False,Sartori
Le Marquis Chevre,https://www.cheese.com/le-marquis-chevre/,goat,France,Rhone Valley,Cheddar,"soft, artisan",soft,natural,ivory,"lemony, tangy",mild,No,No,Cheese Slices
Le Maréchal,https://www.cheese.com/le-marechal/,cow,Switzerland,Wisconsin,Gouda,hard,"firm, smooth",natural,yellow,"buttery, creamy, floral, herbaceous","buttery, floral, grassy, herbal",False,False,Jean-Michel Rapin
Le Moutier,https://www.cheese.com/le-moutier/,goat,Canada,Québec,Cottage,fresh firm,firm,natural,white,sweet,rich,No,No,Fromagerie de l'Abbaye Saint-Benoît
Le Reflet de Portneuf,https://www.cheese.com/le-reflet-de-portneuf/,Unknown,Canada,Quebec,Brie,soft,"buttery, creamy",washed,cream,"buttery, creamy, mushroomy",rich,No,No,La Maison Alexis de Portneuf Inc.
Le St-Raymond,https://www.cheese.com/le-st-raymond/,Unknown,Canada,Quebec,Brie,soft,"smooth, supple",washed,ivory,"fruity, nutty, woody",rich,No,No,La Maison Alexis de Portneuf Inc.
Le Wavreumont,https://www.cheese.com/le-wavreumont/,cow,Belgium,Wallonia,Pecorino,"semi-soft, artisan","buttery, creamy, semi firm, smooth, soft",washed,pale yellow,"buttery, creamy, nutty, smooth, strong","buttery, fresh, grassy",No,No,Fromagerie des Ardennes sprl
Leafield,https://www.cheese.com/leafield/,sheep,Great Britain,Oxfordshire,Brie,"hard, artisan",chewy,natural,pale yellow,fruity,fruity,True,False,Sartori
Lebbene,https://www.cheese.com/lebbene/,"goat, sheep",Israel,Wisconsin,Brie,soft,creamy,natural,white,mild,mild,No,No,Sartori
Leerdammer,https://www.cheese.com/leerdammer/,cow,Netherlands,"Schoonrewoerd, Leerdam",Gouda,semi-hard,"creamy, open, smooth",natural,white,"mild, nutty, sweet",rich,True,False,Sartori
Legacy,https://www.cheese.com/legacy/,cow,United States,Missouri,Gouda,"semi-hard, artisan",creamy,rindless,pale yellow,creamy,aromatic,True,False,Heartland Creamery
Legato,https://www.cheese.com/legato/,cow,United States,California,Camembert,"soft, soft-ripened","creamy, soft-ripened",mold ripened,pale yellow,full-flavored,strong,True,False,Andante Dairy
Lemon Fetish,https://www.cheese.com/lemon-fetish/,sheep,Canada,"Prince Edward County, Ontario",Feta,"fresh firm, artisan","crumbly, dry",natural,white,"citrusy, lemony, salty, tangy","clean, lactic",No,No,Fifth Town Artisan Cheese
Lemon Myrtle Chevre,https://www.cheese.com/lemon-myrtle-chevre/,goat,Australia,South Australia,Cottage,"fresh firm, artisan","creamy, firm, smooth",rindless,white,"acidic, herbaceous","fresh, herbal",True,False,Woodside Cheese Wrights
Leonora®,https://www.cheese.com/leonora/,goat,Spain,Castilla Leon,Pecorino,"semi-soft, artisan",soft-ripened,bloomy,white,"lemony, mushroomy",lactic,False,False,Sartori
Les Calendos,https://www.cheese.com/les-calendos/,cow,Canada,Quebec,Camembert,"soft, soft-ripened","creamy, smooth, supple",bloomy,cream,"creamy, full-flavored",rich,No,No,La Maison Alexis de Portneuf Inc.
Leyden,https://www.cheese.com/leyden/,cow,Netherlands,Leiden,Gouda,"semi-hard, artisan",firm,natural,yellow,"spicy, tangy",aromatic,False,False,Sartori
Liburnski Sir,https://www.cheese.com/liburnski-sir/,"cow, goat, sheep",Croatia,old Liburnia (Dalmatia),Cheddar,"hard, artisan","creamy, open",natural,golden yellow,"creamy, earthy, nutty, tart","buttery, clean, goaty, mild",True,False,SIRANA GLIGORA D.O.O
Lil Moo,https://www.cheese.com/lil-moo/,cow,United States,Georgia,Brie,soft,"creamy, dense, spreadable",rindless,pale yellow,"creamy, smooth, sweet","fresh, grassy",No,No,Sweet Grass Dairy
Liliputas,https://www.cheese.com/liliputas/,cow,Lithuania,Belvederis,Cheddar,semi-hard,"elastic, firm",waxed,yellow,milky,"fresh, lactic",No,No,Sartori
Limburger,https://www.cheese.com/limburger/,cow,"Belgium, Germany, Netherlands",Duchy of Limburg,Blue,"semi-soft, smear-ripened","crumbly, firm, smooth",washed,straw,"grassy, mild, mushroomy",stinky,False,False,Sartori
Lincoln Log,https://www.cheese.com/lincoln-log/,goat,United States,"Ann Arbor, MI",Brie,"semi-soft, soft-ripened","creamy, dense",mold ripened,white,"citrusy, lemony, mild, mushroomy, tangy","goaty, milky",False,False,Zingerman's Creamery
Lincolnshire Poacher,https://www.cheese.com/lincolnshire-poacher/,cow,England,Wisconsin,Cheddar,hard,creamy,natural,yellow,"nutty, sweet",earthy,No,No,F.W.Read & Sons Ltd
Lindale,https://www.cheese.com/lindale/,cow,United States,North Carolina,Gouda,"semi-soft, artisan","creamy, smooth",natural,pale yellow,"buttery, sweet",rich,False,False,Goat Lady Dairy
Lindy Hop,https://www.cheese.com/lindy-hop/,cow,United States,Vermont,Blue,"semi-soft, blue-veined",creamy,natural,straw,"creamy, grassy, mild","rich, strong",False,False,Dancing Cow Farm
Lingot des Causses,https://www.cheese.com/lingot-des-causses/,goat,France,Wisconsin,Brie,soft,"creamy, firm",natural,white,creamy,"buttery, clean, fresh",No,No,Sartori
Lingot Saint Bousquet d'Orb,https://www.cheese.com/lingot-saint-bousquet-dorb/,goat,France,Herault,Brie,"soft, artisan",smooth,natural,white,sweet,herbal,False,False,Sartori
Liptauer,https://www.cheese.com/liptauer/,cow,United States,"Ann Arbor, Michigan",Mozzarella,"fresh soft, artisan",creamy,rindless,brown,"garlicky, savory, spicy, sweet","garlicky, spicy",True,False,Zingerman's Creamery
Little Bloom on the Prairie,https://www.cheese.com/little-bloom-prairie/,goat,United States,Illinois,Camembert,"soft, soft-ripened","creamy, dense, smooth, soft-ripened",mold ripened,white,"citrusy, creamy, mushroomy, tangy","fresh, lactic",False,False,Prairie Fruits Farm
Little Colonel,https://www.cheese.com/little-colonel/,cow,"England, Great Britain, United Kingdom",Dorset,Pecorino,"semi-soft, artisan","smooth, supple",washed,pale yellow,spicy,pungent,True,False,James’s Cheese
Little Dragon,https://www.cheese.com/little-dragon/,goat,United States,"Ann Arbor, Michigan",Brie,soft,creamy,natural,white,"citrusy, creamy, mellow, sweet","fresh, herbal",False,False,Zingerman's Creamery
Little Napoleon,https://www.cheese.com/little-napoleon/,goat,United States,"Ann Arbor, Michigan",Cheddar,"hard, artisan",firm,mold ripened,pale yellow,"acidic, savory","goaty, pungent",False,False,Zingerman's Creamery
Little Qualicum Raclette,https://www.cheese.com/little-qualicum-raclette/,cow,Canada,British Columbia,Raclette,"semi-soft, artisan","firm, supple",washed,ivory,"meaty, strong","pungent, stinky",No,No,Little Qualicum Cheeseworks
Little Rydings,https://www.cheese.com/little-rydings/,sheep,England,North Wootton,Brie,"soft, artisan","creamy, smooth, springy",mold ripened,white,"mild, sweet","rich, sweet",True,False,Wootton Organic Dairy
Little Ypsi,https://www.cheese.com/little-ypsi/,goat,United States,"Ann Arbor, Michigan",Pecorino,"semi-soft, artisan","buttery, firm",natural,ivory,buttery,buttery,False,False,Zingerman's Creamery
Livarot,https://www.cheese.com/livarot/,cow,France,Wisconsin,Brie,"soft, artisan",creamy,washed,white,full-flavored,"pungent, strong",False,False,Sartori
Llanboidy,https://www.cheese.com/llanboidy/,cow,Wales,Carmarthenshire,Cheddar,"hard, artisan","firm, smooth",natural,white,"buttery, spicy","grassy, sweet",False,False,Llanboidy
Llanglofan Farmhouse,https://www.cheese.com/llanglofan-farmhouse/,cow,"Great Britain, United Kingdom, Wales",Pembrokeshire,Cheddar,"hard, artisan","crumbly, firm, smooth",natural,yellow,"citrusy, savory, smokey , spicy","lactic, smokey",True,False,CARMARTHENSHIRE CHEESE COMPANY
Lo Sburrato,https://www.cheese.com/lo-sburrato/,sheep,Italy,Tuscany,Pecorino,"semi-soft, artisan","compact, creamy",natural,straw,"creamy, smooth, sweet",aromatic,No,No,Caseificio Pinzani Srl
Lo Speziato,https://www.cheese.com/lo-speziato/,cow,Italy,"Treviso, Veneto",Brie,"soft, artisan",compact,natural,ivory,"full-flavored, spicy",fresh,No,No,Moro Latteria di Moro Sergio
Loch Arthur Farmhouse,https://www.cheese.com/loch-arthur-farmhouse/,cow,Scotland,Dumfries,Cheddar,hard,firm,natural,white,nutty,rich,True,False,Loch Arthur Creamery
Loddiswell Avondale,https://www.cheese.com/loddiswell-avondale/,goat,England,Devon,Cheddar,semi-soft,creamy,washed,orange,sweet,goaty,False,False,Jocelyn and Bill Martin
Loma Alta,https://www.cheese.com/loma-alta/,cow,United States,California,Camembert,"semi-soft, soft-ripened",firm,mold ripened,white,"buttery, nutty",rich,False,False,Nicasio Valley Cheese Company
Longhorn,https://www.cheese.com/longhorn/,cow,United States,"Colby, Wisconsin",Cheddar,semi-hard,"firm, open, springy",rindless,orange,"mild, sweet",rich,False,False,Williams Cheese Company
Lord of the Hundreds,https://www.cheese.com/lord-hundreds/,sheep,United Kingdom,East Sussex,Cheddar,"semi-hard, artisan","firm, grainy, open",natural,golden yellow,"burnt caramel, nutty, savory, sweet","grassy, sweet",True,False,Traditional Cheese Dairy
Lost Lake,https://www.cheese.com/lost-lake/,sheep,Canada,"Prince Edward County, Ontario",Blue,"fresh firm, artisan, soft-ripened","creamy, semi firm, soft",mold ripened,white,"creamy, mushroomy","rich, yeasty",No,No,Fifth Town Artisan Cheese
Lou Bergier Pichin,https://www.cheese.com/lou-bergier/,cow,Italy,Piemonte,Pecorino,"semi-soft, artisan","buttery, open, smooth",natural,brown,"creamy, floral, mushroomy","grassy, milky",True,False,Sartori
Lou Palou,https://www.cheese.com/lou-palou/,cow,France,Pyrénées,Cheddar,semi-soft,"elastic, smooth",natural,white,creamy,pleasant,False,False,Sartori
Lou Pevre,https://www.cheese.com/lou-pevre/,goat,France,Provence,Cheddar,"soft, processed",smooth,natural,white,acidic,goaty,False,False,Sartori
Lunetta,https://www.cheese.com/lunetta/,cow,"Canada, Italy",Lombardy,Mozzarella,"fresh soft, artisan",creamy,natural,white,"creamy, salty","aromatic, fresh",No,No,Fifth Town Artisan Cheese
Lyburn Garlic and Nettle,https://www.cheese.com/lyburn-garlic-and-nettle/,cow,"England, Great Britain, United Kingdom",Landford,Pecorino,"semi-soft, artisan","creamy, open, smooth",washed,pale yellow,"garlicky, herbaceous, pronounced, spicy, strong","aromatic, rich, strong",True,False,Lyburn Farm
Lyburn Gold,https://www.cheese.com/lyburn-gold/,cow,"England, Great Britain, United Kingdom",Landford,Gouda,"semi-hard, artisan","creamy, open, smooth",washed,brownish yellow,nutty,rich,True,False,Lyburn Farm
Lyburn Lightly Oak Smoked,https://www.cheese.com/lyburn-lightly-oak-smoked/,cow,"England, Great Britain, United Kingdom",Landford,Gouda,"semi-hard, artisan",smooth,washed,pale yellow,"smokey , smooth, subtle",smokey,True,False,Lyburn Farm
Lyburn's Winchester,https://www.cheese.com/lyburns-winchester/,cow,"England, Great Britain, United Kingdom",Landford,Gouda,"hard, artisan",creamy,natural,brownish yellow,"creamy, nutty",rich,True,False,Lyburn Farm
Maasdam,https://www.cheese.com/maasdam/,cow,Netherlands,All Holland,Gouda,semi-hard,"creamy, open, supple",natural,pale yellow,"buttery, nutty, sweet",fruity,False,False,Sartori
Macadamia Nut Cheese,https://www.cheese.com/macadamia-nut-cheese/,Unknown,United States,Brooklyn NY,Blue,"firm, artisan","firm, spreadable",natural,brown,"creamy, nutty, sweet",nutty,True,False,Dr. Cow Tree Nut Cheese
Macconais,https://www.cheese.com/macconais/,"cow, goat",France,Bourgogne,Blue,"soft, artisan, soft-ripened","creamy, firm, smooth",bloomy,cream,"salty, tangy",herbal,False,False,Sartori
Madrona,https://www.cheese.com/madrona/,goat,United States,Oregon,Pecorino,"semi-soft, artisan",creamy,natural,ivory,mild,"fruity, herbal",No,No,Briar Rose Creamery
Maffra Aged Rinded Cheddar,https://www.cheese.com/maffra-aged-rinded-cheddar/,cow,Australia,"Gippsland, Victoria",Cheddar,"hard, artisan","buttery, crumbly, firm",cloth wrapped,straw,"earthy, meaty, sweet",grassy,False,False,Maffra Cheese Company Pty Ltd
Maffra Cheshire,https://www.cheese.com/maffra-cheshire/,cow,Australia,"Gippsland, Victoria",Cheddar,"hard, artisan",crumbly,natural,pale yellow,"mellow, salty, sharp, tart",rich,True,False,Maffra Cheese Company Pty Ltd
Maffra Dargo Walnut,https://www.cheese.com/maffra-dargo-walnut/,cow,Australia,"Gippsland, Victoria",Cheddar,"semi-hard, artisan","crumbly, dense, firm, flaky",natural,golden yellow,"mild, nutty, sweet","nutty, sweet",No,No,Maffra Cheese Company Pty Ltd
Maffra Mature Cheddar,https://www.cheese.com/maffra-mature-cheddar/,cow,Australia,"Gippsland, Victoria",Cheddar,"hard, artisan","creamy, crumbly, firm, smooth",waxed,yellow,"acidic, salty, smooth",rich,True,False,Maffra Cheese Company Pty Ltd
Maffra Peppercorn Cheddar,https://www.cheese.com/maffra-peppercorn-cheddar/,cow,Australia,"Gippsland, Victoria",Cheddar,"semi-hard, artisan","creamy, firm",natural,yellow,"creamy, spicy",spicy,No,No,Maffra Cheese Company Pty Ltd
Maffra Red Leicester,https://www.cheese.com/maffra-red-leicester/,cow,Australia,"Gippsland, Victoria",Cheddar,"hard, artisan","buttery, creamy, dense, smooth",natural,brownish yellow,"creamy, mellow, smooth",rich,True,False,Maffra Cheese Company Pty Ltd
Maffra Sage Derby,https://www.cheese.com/maffra-sage-derby/,cow,Australia,"Gippsland, Victoria",Cheddar,"semi-hard, artisan","firm, smooth",natural,pale yellow,"creamy, herbaceous, smooth","herbal, sweet",True,False,Maffra Cheese Company Pty Ltd
Maffra Wensleydale,https://www.cheese.com/maffra-wensleydale/,cow,Australia,"Gippsland, Victoria",Cheddar,"hard, artisan",crumbly,natural,pale yellow,"creamy, lemony",rich,No,No,Maffra Cheese Company Pty Ltd
Maggie's Round,https://www.cheese.com/maggies-round/,cow,United States,Massachusetts,Tomme,"semi-hard, artisan","firm, smooth",natural,blue-grey,"buttery, citrusy, nutty, sharp","earthy, fruity, herbal",True,False,Cricket Creek Farm
